0.95;0.00
0.70;0.00
0.30;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.16
0.00;0.31
0.31;0.33
0.66;0.33
0.91;0.26
1.03;0.16
1.01;0.03
0.86;0.00
0.56;0.00
0.19;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.08
0.00;0.22
0.06;0.31
0.44;0.35
0.76;0.32
0.97;0.22
1.04;0.12
0.96;0.00
0.76;0.00
0.44;0.00
0.07;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.10
0.00;0.27
0.13;0.32
0.50;0.34
0.80;0.30
0.99;0.22
1.04;0.10
0.94;0.00
0.71;0.00
0.38;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.14
0.00;0.28
0.26;0.37
0.61;0.33
0.88;0.28
1.01;0.18
1.02;0.06
0.89;0.00
0.61;0.00
0.25;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.06
0.00;0.19
0.00;0.31
0.38;0.34
0.71;0.32
0.94;0.25
1.04;0.13
0.99;0.01
0.78;0.00
0.50;0.00
0.14;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.10
0.00;0.24
0.12;0.32
0.49;0.36
0.80;0.30
0.99;0.23
1.05;0.10
0.94;0.00
0.71;0.00
0.37;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.24
0.13;0.32
0.50;0.34
0.80;0.31
0.99;0.22
1.03;0.10
0.94;0.00
0.71;0.00
0.39;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.14
0.00;0.28
0.26;0.33
0.61;0.33
0.88;0.28
1.02;0.18
1.03;0.06
0.87;0.00
0.62;0.00
0.26;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.06
0.00;0.19
0.00;0.30
0.41;0.33
0.71;0.32
0.94;0.25
1.04;0.13
0.99;0.01
0.80;0.00
0.50;0.00
0.14;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.22
0.13;0.32
0.50;0.34
0.80;0.30
0.99;0.23
1.03;0.10
0.95;0.00
0.71;0.00
0.38;0.00
0.01;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.14
0.00;0.29
0.25;0.33
0.61;0.33
0.88;0.28
1.01;0.18
1.02;0.05
0.88;0.00
0.62;0.00
0.26;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.06
0.00;0.22
0.00;0.30
0.38;0.34
0.71;0.32
0.94;0.24
1.04;0.15
1.00;0.01
0.81;0.00
0.50;0.00
0.12;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.24
0.13;0.32
0.50;0.34
0.82;0.30
1.01;0.22
1.04;0.10
0.94;0.00
0.71;0.00
0.37;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.14
0.00;0.27
0.25;0.34
0.60;0.34
0.88;0.28
1.03;0.19
1.03;0.06
0.87;0.00
0.61;0.00
0.26;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.07
0.00;0.19
0.00;0.30
0.38;0.34
0.71;0.35
0.94;0.25
1.04;0.14
0.99;0.00
0.82;0.00
0.51;0.00
0.13;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.10
0.00;0.24
0.13;0.31
0.50;0.34
0.80;0.30
0.99;0.22
1.03;0.10
0.92;0.00
0.72;0.00
0.38;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.08
0.00;0.14
0.00;0.28
0.25;0.32
0.61;0.33
0.88;0.30
1.02;0.18
1.03;0.06
0.87;0.00
0.61;0.00
0.25;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.06
0.00;0.20
0.00;0.30
0.38;0.34
0.71;0.32
0.94;0.25
1.04;0.15
0.99;0.01
0.76;0.00
0.49;0.00
0.13;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.24
0.10;0.32
0.50;0.34
0.80;0.28
0.99;0.22
1.04;0.12
0.97;0.00
0.76;0.00
0.44;0.00
0.06;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.26
0.19;0.33
0.55;0.34
0.84;0.30
1.01;0.20
1.04;0.06
0.91;0.00
0.66;0.00
0.32;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.16
0.00;0.30
0.29;0.34
0.66;0.33
0.94;0.26
1.03;0.16
1.01;0.03
0.83;0.00
0.60;0.00
0.20;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.08
0.00;0.22
0.06;0.31
0.44;0.35
0.75;0.31
0.97;0.23
1.03;0.12
0.97;0.00
0.76;0.00
0.44;0.00
0.06;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.28
0.19;0.33
0.55;0.34
0.85;0.29
1.01;0.20
1.03;0.08
0.91;0.00
0.66;0.00
0.33;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.17
0.00;0.29
0.32;0.32
0.66;0.32
0.91;0.26
1.03;0.16
1.01;0.04
0.85;0.00
0.56;0.00
0.20;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.08
0.00;0.21
0.04;0.31
0.44;0.34
0.76;0.31
0.97;0.23
1.04;0.12
0.97;0.00
0.76;0.00
0.44;0.00
0.06;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.12
0.00;0.26
0.19;0.32
0.56;0.34
0.85;0.29
1.01;0.20
1.06;0.07
0.89;0.00
0.65;0.00
0.32;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.16
0.00;0.29
0.34;0.34
0.68;0.33
0.91;0.30
1.03;0.17
1.01;0.03
0.84;0.00
0.56;0.00
0.19;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.08
0.00;0.22
0.06;0.31
0.43;0.35
0.76;0.31
0.97;0.23
1.04;0.12
0.97;0.00
0.76;0.00
0.44;0.00
0.06;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.12
0.00;0.26
0.19;0.33
0.56;0.34
0.84;0.29
1.01;0.20
1.04;0.08
0.91;0.00
0.66;0.00
0.32;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.17
0.00;0.31
0.32;0.34
0.66;0.33
0.92;0.26
1.04;0.16
1.00;0.03
0.84;0.00
0.56;0.00
0.20;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.08
0.00;0.22
0.04;0.31
0.44;0.34
0.76;0.31
0.97;0.23
1.04;0.12
0.97;0.00
0.76;0.00
0.44;0.00
0.06;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.26
0.20;0.33
0.56;0.34
0.85;0.29
1.01;0.20
1.04;0.08
0.91;0.00
0.66;0.00
0.32;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.17
0.00;0.29
0.31;0.34
0.66;0.33
0.91;0.26
1.03;0.17
0.99;0.03
0.84;0.00
0.56;0.00
0.19;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.08
0.00;0.22
0.06;0.31
0.44;0.34
0.76;0.33
0.97;0.23
1.04;0.12
0.97;0.00
0.77;0.00
0.44;0.00
0.06;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.11
0.00;0.25
0.13;0.32
0.50;0.34
0.80;0.30
0.99;0.22
1.04;0.10
0.94;0.00
0.71;0.00
0.44;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.14
0.00;0.27
0.21;0.34
0.59;0.33
0.88;0.28
1.02;0.18
1.02;0.06
0.88;0.00
0.62;0.00
0.25;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.06
0.00;0.20
0.00;0.30
0.38;0.34
0.72;0.32
0.94;0.24
1.04;0.14
0.99;0.01
0.80;0.00
0.50;0.00
0.13;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.08
0.00;0.22
0.06;0.31
0.44;0.34
0.76;0.31
0.97;0.23
1.05;0.12
0.97;0.00
0.75;0.00
0.44;0.00
0.07;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.26
0.19;0.33
0.56;0.34
0.84;0.29
1.02;0.20
1.03;0.08
0.91;0.00
0.66;0.00
0.32;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.17
0.00;0.29
0.32;0.34
0.66;0.33
0.91;0.26
1.05;0.16
1.01;0.03
0.84;0.00
0.55;0.00
0.20;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.08
0.00;0.22
0.06;0.31
0.44;0.34
0.76;0.31
0.97;0.23
1.04;0.12
0.97;0.00
0.76;0.00
0.41;0.00
0.06;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.26
0.20;0.33
0.56;0.34
0.85;0.29
1.01;0.20
1.03;0.08
0.91;0.00
0.66;0.00
0.32;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.17
0.00;0.29
0.32;0.34
0.65;0.33
0.91;0.26
1.04;0.17
1.01;0.03
0.84;0.00
0.56;0.00
0.19;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.08
0.00;0.22
0.06;0.31
0.44;0.34
0.76;0.31
0.97;0.23
1.04;0.12
0.96;0.00
0.76;0.00
0.44;0.00
0.06;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.26
0.20;0.33
0.56;0.34
0.84;0.29
1.01;0.20
1.04;0.08
0.91;0.00
0.66;0.00
0.32;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.17
0.00;0.22
0.32;0.34
0.66;0.33
0.91;0.26
1.04;0.16
1.01;0.03
0.84;0.00
0.56;0.00
0.19;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.08
0.00;0.22
0.05;0.31
0.46;0.34
0.76;0.31
0.97;0.23
1.05;0.12
0.97;0.00
0.76;0.00
0.45;0.00
0.06;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.26
0.20;0.33
0.56;0.34
0.85;0.29
1.02;0.20
1.03;0.08
0.90;0.00
0.66;0.00
0.32;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.17
0.00;0.29
0.33;0.34
0.66;0.33
0.91;0.26
1.03;0.16
1.01;0.03
0.84;0.00
0.56;0.00
0.19;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.08
0.00;0.22
0.06;0.31
0.44;0.34
0.76;0.31
0.97;0.23
1.04;0.12
0.96;0.00
0.76;0.00
0.44;0.00
0.06;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.26
0.20;0.33
0.56;0.34
0.84;0.29
1.01;0.20
1.04;0.08
0.92;0.00
0.66;0.00
0.32;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.14
0.00;0.27
0.26;0.34
0.61;0.33
0.88;0.28
1.02;0.18
1.03;0.06
0.87;0.00
0.61;0.00
0.25;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.06
0.00;0.20
0.00;0.30
0.39;0.34
0.73;0.32
0.94;0.25
1.04;0.14
0.99;0.01
0.80;0.00
0.50;0.00
0.13;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.24
0.13;0.32
0.50;0.34
0.80;0.30
0.99;0.22
1.04;0.10
0.94;0.00
0.70;0.00
0.38;0.00
0.04;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.14
0.00;0.27
0.25;0.34
0.61;0.33
0.88;0.28
1.02;0.18
1.02;0.06
0.87;0.00
0.61;0.00
0.25;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.06
0.00;0.19
0.00;0.30
0.38;0.34
0.71;0.32
0.94;0.25
1.03;0.14
0.99;0.01
0.80;0.00
0.50;0.00
0.12;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.10
0.00;0.24
0.13;0.32
0.50;0.34
0.80;0.30
0.99;0.22
1.04;0.10
0.94;0.00
0.71;0.00
0.38;0.00
0.02;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.14
0.00;0.28
0.26;0.34
0.61;0.33
0.88;0.28
1.03;0.18
1.02;0.06
0.88;0.00
0.61;0.00
0.25;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.06
0.00;0.19
0.00;0.30
0.38;0.34
0.71;0.32
0.94;0.25
1.04;0.14
0.99;0.01
0.80;0.00
0.50;0.00
0.12;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.24
0.13;0.32
0.50;0.34
0.81;0.30
0.99;0.22
1.04;0.10
0.94;0.00
0.71;0.00
0.38;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.14
0.00;0.28
0.26;0.34
0.61;0.33
0.88;0.27
1.02;0.18
1.02;0.06
0.88;0.00
0.61;0.00
0.26;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.06
0.00;0.19
0.00;0.30
0.39;0.34
0.72;0.32
0.94;0.25
1.04;0.14
0.99;0.01
0.80;0.00
0.49;0.00
0.12;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.24
0.13;0.32
0.50;0.34
0.80;0.30
0.99;0.22
1.04;0.10
0.94;0.00
0.71;0.00
0.38;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.14
0.00;0.27
0.26;0.33
0.62;0.33
0.88;0.28
1.02;0.18
1.03;0.05
0.89;0.00
0.61;0.00
0.26;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.06
0.00;0.19
0.00;0.30
0.38;0.34
0.71;0.32
0.94;0.25
1.04;0.14
0.99;0.00
0.80;0.00
0.50;0.00
0.13;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.24
0.13;0.32
0.50;0.34
0.80;0.30
0.99;0.22
1.04;0.10
0.94;0.00
0.71;0.00
0.38;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.14
0.00;0.27
0.26;0.33
0.61;0.33
0.88;0.28
1.02;0.18
1.03;0.06
0.87;0.00
0.61;0.00
0.25;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.06
0.00;0.19
0.00;0.30
0.39;0.34
0.71;0.32
0.95;0.25
1.04;0.14
0.99;0.01
0.80;0.00
0.50;0.00
0.13;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.24
0.13;0.32
0.50;0.34
0.80;0.30
0.99;0.22
1.04;0.12
0.97;0.00
0.76;0.00
0.44;0.00
0.06;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.26
0.20;0.33
0.56;0.34
0.85;0.29
1.01;0.20
1.03;0.08
0.91;0.00
0.66;0.00
0.32;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.17
0.00;0.29
0.32;0.34
0.66;0.33
0.91;0.26
1.03;0.16
1.01;0.03
0.84;0.00
0.55;0.00
0.19;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.08
0.00;0.22
0.06;0.31
0.44;0.34
0.76;0.31
0.97;0.23
1.04;0.12
0.97;0.00
0.76;0.00
0.44;0.00
0.06;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.26
0.20;0.33
0.56;0.34
0.84;0.30
1.01;0.20
1.03;0.08
0.91;0.00
0.66;0.00
0.32;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.18
0.00;0.29
0.32;0.34
0.66;0.33
0.91;0.26
1.04;0.16
1.01;0.04
0.84;0.00
0.56;0.00
0.19;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.08
0.00;0.22
0.06;0.31
0.44;0.35
0.76;0.31
0.97;0.23
1.05;0.12
0.96;0.00
0.75;0.00
0.44;0.00
0.06;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.12
0.00;0.26
0.20;0.33
0.56;0.34
0.85;0.29
1.01;0.20
1.04;0.08
0.91;0.00
0.66;0.00
0.31;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.17
0.00;0.29
0.32;0.34
0.66;0.33
0.91;0.26
1.03;0.16
1.01;0.03
0.84;0.00
0.55;0.00
0.19;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.08
0.00;0.22
0.06;0.31
0.44;0.34
0.76;0.31
0.97;0.23
1.05;0.12
0.97;0.00
0.75;0.00
0.43;0.00
0.06;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.26
0.20;0.33
0.56;0.34
0.85;0.29
1.01;0.20
1.03;0.10
0.91;0.00
0.66;0.00
0.31;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.17
0.00;0.29
0.32;0.34
0.66;0.33
0.91;0.26
1.03;0.16
1.01;0.03
0.84;0.00
0.55;0.00
0.19;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.08
0.00;0.22
0.06;0.31
0.44;0.34
0.76;0.31
0.97;0.24
1.04;0.12
0.97;0.02
0.75;0.00
0.43;0.00
0.06;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.11
0.00;0.26
0.20;0.33
0.56;0.34
0.85;0.29
1.01;0.20
1.03;0.08
0.91;0.00
0.66;0.00
0.32;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.17
0.00;0.29
0.32;0.34
0.66;0.33
0.91;0.26
1.03;0.16
1.00;0.03
0.84;0.00
0.55;0.00
0.19;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.08
0.00;0.26
0.06;0.31
0.44;0.34
0.77;0.31
0.97;0.23
1.04;0.12
0.97;0.00
0.76;0.00
0.44;0.00
0.06;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.26
0.20;0.33
0.56;0.33
0.84;0.29
1.01;0.20
1.03;0.07
0.91;0.00
delay,correlation
highshift: (milli*1000)-15
highr: (*1000)988
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.14
0.00;0.27
0.26;0.35
0.61;0.33
0.88;0.28
1.02;0.18
1.02;0.04
0.87;0.00
0.61;0.00
0.25;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.06
0.00;0.19
0.00;0.31
0.39;0.34
0.71;0.32
0.94;0.25
1.04;0.15
0.99;0.01
0.80;0.00
0.49;0.00
0.12;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.24
0.13;0.28
0.50;0.34
0.81;0.30
0.99;0.22
1.04;0.11
0.94;0.00
0.71;0.00
0.38;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.14
0.00;0.27
0.26;0.33
0.62;0.33
0.88;0.28
1.02;0.18
1.02;0.06
0.86;0.00
0.61;0.00
0.25;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.06
0.00;0.20
0.00;0.30
0.39;0.35
0.71;0.32
0.94;0.25
1.04;0.15
0.99;0.00
0.80;0.00
0.49;0.00
0.13;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.24
0.13;0.33
0.50;0.34
0.80;0.30
0.99;0.22
1.04;0.10
0.94;0.00
0.71;0.00
0.38;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.14
0.00;0.26
0.26;0.33
0.61;0.34
0.88;0.27
1.02;0.18
1.02;0.06
0.87;0.00
0.61;0.00
0.25;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.06
0.00;0.22
0.00;0.30
0.39;0.34
0.71;0.32
0.94;0.25
1.04;0.14
0.99;0.00
0.80;0.00
0.49;0.00
0.13;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.02
0.00;0.09
0.00;0.24
0.13;0.32
0.50;0.34
0.80;0.30
0.99;0.22
1.04;0.10
0.94;0.00
0.71;0.00
0.38;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.04
0.00;0.14
0.00;0.27
0.26;0.33
0.62;0.34
0.88;0.28
1.03;0.19
1.02;0.05
0.87;0.00
0.61;0.00
0.25;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.20
0.00;0.31
0.38;0.34
0.71;0.32
0.95;0.24
1.04;0.14
0.99;0.01
0.80;0.00
0.49;0.00
0.13;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.08
0.00;0.21
0.06;0.32
0.44;0.34
0.76;0.31
0.97;0.23
1.03;0.12
0.97;0.00
0.76;0.00
0.44;0.00
0.06;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.26
0.20;0.33
0.56;0.34
0.84;0.29
1.01;0.20
1.03;0.08
0.89;0.00
0.66;0.00
0.31;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.17
0.00;0.29
0.32;0.34
0.66;0.33
0.91;0.26
1.03;0.16
1.01;0.03
0.84;0.00
0.55;0.00
0.19;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.08
0.00;0.22
0.07;0.32
0.44;0.34
0.76;0.31
0.97;0.23
1.04;0.12
0.97;0.00
0.76;0.00
0.43;0.00
0.05;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.11
0.00;0.26
0.20;0.33
0.57;0.34
0.85;0.29
1.01;0.20
1.03;0.08
0.91;0.00
0.66;0.00
0.31;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.17
0.00;0.29
0.32;0.34
0.66;0.34
0.91;0.28
1.03;0.16
1.01;0.04
0.84;0.00
0.55;0.00
0.19;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.01
0.00;0.07
0.00;0.22
0.06;0.31
0.44;0.36
0.76;0.31
0.97;0.24
1.04;0.12
0.97;0.00
0.75;0.00
0.43;0.00
0.06;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.03
0.00;0.12
0.00;0.26
0.20;0.35
0.55;0.33
0.85;0.29
1.01;0.20
1.04;0.08
0.91;0.00
0.65;0.00
0.31;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.05
0.00;0.17
0.00;0.29
0.32;0.34
0.67;0.33
